Genome	Ctrl_A1	Ctrl_A2	Ctrl_A3	AA_A1	AA_A2	AA_A3	AAAb_A1	AAAb_A2	AAAb_A3	Ctrl_B1	Ctrl_B2	Ctrl_B3	AA_B1	AA_B2	AA_B3	AAAb_B1	AAAb_B2	AAAb_B3	Inoculum
Symbiobacterium terraclitae  UNIPD18	0.0	0.0	0.0	0.0	0.6964918	0.0	0.2726915	0.124656856	0.30952322	0.0	0.0	0.0	0.0	0.113476515	0.0	0.0	0.0	0.0	0.0
Tepidanaerobacteraceae sp. UNIPD27	0.0	0.0	0.0	0.12419065	2.6756227	0.0	0.29507586	0.37643856	0.30218002	0.07073268	0.10674943	0.06796754	0.14904054	0.46602687	0.08304938	0.41845545	0.49889222	0.33842608	0.0
Limnochordia sp. UNIPD14	0.0	0.17225884	0.0	0.0	0.0	0.0	0.07300707	0.0	0.0	0.27647978	0.9298134	0.5524515	0.58566374	0.8815884	0.644111	3.6974127	3.1935723	2.0194573	0.0
Firmicutes sp. UNIPD7	0.26088053	0.42050838	0.27841464	0.19408242	0.19604537	0.22585303	0.6860414	0.5909281	0.70698035	0.250841	0.54159707	0.46342164	0.44575873	0.5809532	0.47343937	0.5132572	1.147906	0.20247915	0.061180178
Firmicutes sp. UNIPD31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05599375	0.0	0.0
Peptococcales sp. UNIPD29	0.0	0.26721328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.060047366	0.0	0.089995295	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Moorellia sp. UNIPD5	0.7189465	1.0839971	0.684622	0.6338362	0.19882491	0.50728506	4.327624	2.1684914	0.6004592	0.5655425	0.25557852	0.15282315	0.114002265	0.080070935	0.06893388	0.4498779	0.28987125	0.45748243	0.0
Moorellia sp. UNIPD25	0.0	0.0	0.0	0.0	0.0	0.0	0.38409507	0.3090512	0.2803556	0.0	0.0	0.0	0.10245317	0.0	0.09065809	0.17481123	0.22137347	0.0	0.0
Symbiobacterium sp. UNIPD15	8.788297	12.004263	6.7465215	1.4401581	4.2403507	1.8126187	4.915837	4.9147477	4.63672	1.5744478	0.5352865	1.5383224	1.1971598	3.2383885	1.6425948	1.1603041	2.003284	0.5912057	0.0
Tepidanaerobacteraceae sp. UNIPD3	0.0	0.15206414	0.0	0.7183899	0.55370003	0.8811025	0.0	0.0	0.0	0.0	0.0	0.0	0.15500697	0.07805134	0.07852065	0.21758132	0.14560352	0.19346142	0.0
